Blog Post Link,Smart Contract Address,Audit Website,Source link 1,Source link 2,Source link 3,Chain,Is_closed_source,hidden_owner,anti_whale_modifiable,Is_anti_whale,Is_honeypot,buy_tax,sell_tax,slippage_modifiable,Is_blacklisted,can_take_back_ownership,owner_change_balance,is_airdrop_scam,selfdestruct,trust_list,is_whitelisted,is_fake_token,illegal_unicode,exploitation,bad_contract,reusing_state_variable,encode_packed_collision,encode_packed_parameters,centralized_risk_medium,centralized_risk_high,centralized_risk_low,event_setter,external_dependencies,immutable_states,reentrancy_without_eth_transfer,incorrect_inheritance_order,shadowing_local,events_maths,Summary/rationale of risk tags marked true
https://exampleblockchain.com/post0,0xcf503b37935247688ca1677e8159d8943035eff0,https://auditplatform.com/contract0,https://sourceinfo.com/detail159,https://sourceinfo.com/detail293,https://sourceinfo.com/detail351,Polygon,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms. Relies on external contracts or libraries, increasing vulnerability to external changes."
https://exampleblockchain.com/post1,0x23813d33e70199f0fa473eb27c2004556841f49a,https://auditplatform.com/contract1,https://sourceinfo.com/detail143,https://sourceinfo.com/detail203,https://sourceinfo.com/detail377,Binance Smart Chain,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post2,0xaf811799367be2b0e35c9a4b464ff43c448ef43a,https://auditplatform.com/contract2,https://sourceinfo.com/detail179,https://sourceinfo.com/detail203,https://sourceinfo.com/detail382,Ethereum,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Marked as honeypot due to suspicious transaction patterns.
https://exampleblockchain.com/post3,0x7fd55015930f5e012420d32ad0759f0a2baf7b29,https://auditplatform.com/contract3,https://sourceinfo.com/detail159,https://sourceinfo.com/detail298,https://sourceinfo.com/detail317,Polygon,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post4,0x2e3eb32e3412be9a14a6b8b23006063ea38c8de8,https://auditplatform.com/contract4,https://sourceinfo.com/detail121,https://sourceinfo.com/detail236,https://sourceinfo.com/detail303,Ethereum,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
https://exampleblockchain.com/post5,0xd23e2bd0883f8a2843cde043dbc6d9db808d5e90,https://auditplatform.com/contract5,https://sourceinfo.com/detail112,https://sourceinfo.com/detail242,https://sourceinfo.com/detail308,Binance Smart Chain,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post6,0xc965d31804bb965fd788f9286fb6fd91f6c8d832,https://auditplatform.com/contract6,https://sourceinfo.com/detail198,https://sourceinfo.com/detail220,https://sourceinfo.com/detail347,Binance Smart Chain,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
https://exampleblockchain.com/post7,0xf3ac636ed57b0b84a6b5dcf82b39753e45d33799,https://auditplatform.com/contract7,https://sourceinfo.com/detail105,https://sourceinfo.com/detail205,https://sourceinfo.com/detail343,Polygon,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms. Relies on external contracts or libraries, increasing vulnerability to external changes."
https://exampleblockchain.com/post8,0x973ea2c3f9abd77d51c228158f40b25e5e0e8d11,https://auditplatform.com/contract8,https://sourceinfo.com/detail120,https://sourceinfo.com/detail288,https://sourceinfo.com/detail361,Polygon,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Relies on external contracts or libraries, increasing vulnerability to external changes."
https://exampleblockchain.com/post9,0x038b8440937c32ed1121d4d255cc5d2fb577b6e1,https://auditplatform.com/contract9,https://sourceinfo.com/detail131,https://sourceinfo.com/detail283,https://sourceinfo.com/detail303,Ethereum,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Relies on external contracts or libraries, increasing vulnerability to external changes."
https://exampleblockchain.com/post10,0x672cb319de59920b9cb19a06f0a4e84f3388bdbe,https://auditplatform.com/contract10,https://sourceinfo.com/detail198,https://sourceinfo.com/detail254,https://sourceinfo.com/detail344,Binance Smart Chain,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,
https://exampleblockchain.com/post11,0x703877da18470bc490ae6c42463a378dd508ff5b,https://auditplatform.com/contract11,https://sourceinfo.com/detail123,https://sourceinfo.com/detail203,https://sourceinfo.com/detail375,Binance Smart Chain,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,
https://exampleblockchain.com/post12,0x47cdaa4e1b3392523e5ab7cc2d716a50eb0ac3a1,https://auditplatform.com/contract12,https://sourceinfo.com/detail119,https://sourceinfo.com/detail283,https://sourceinfo.com/detail349,Polygon,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
https://exampleblockchain.com/post13,0xa9cd96678d870868f983617492c082d7844c17e6,https://auditplatform.com/contract13,https://sourceinfo.com/detail185,https://sourceinfo.com/detail223,https://sourceinfo.com/detail350,Binance Smart Chain,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Marked as honeypot due to suspicious transaction patterns. Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post14,0x941597bd135736679196038414503ea144400fad,https://auditplatform.com/contract14,https://sourceinfo.com/detail147,https://sourceinfo.com/detail248,https://sourceinfo.com/detail310,Binance Smart Chain,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
https://exampleblockchain.com/post15,0x8ebbff469cbf33c21a21b3c4a11078a43563298c,https://auditplatform.com/contract15,https://sourceinfo.com/detail106,https://sourceinfo.com/detail294,https://sourceinfo.com/detail343,Binance Smart Chain,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post16,0x1c4a08d395517de864735bc36473f05bbe93755c,https://auditplatform.com/contract16,https://sourceinfo.com/detail168,https://sourceinfo.com/detail230,https://sourceinfo.com/detail379,Ethereum,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Relies on external contracts or libraries, increasing vulnerability to external changes."
https://exampleblockchain.com/post17,0x8be08369a32b703ae0361cb92d949db1324d9f74,https://auditplatform.com/contract17,https://sourceinfo.com/detail173,https://sourceinfo.com/detail289,https://sourceinfo.com/detail391,Ethereum,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
https://exampleblockchain.com/post18,0x9e412ded7239a7a66cf2a36e0dcfa80abd7e6d5e,https://auditplatform.com/contract18,https://sourceinfo.com/detail124,https://sourceinfo.com/detail207,https://sourceinfo.com/detail362,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,
https://exampleblockchain.com/post19,0xf965b27c1922ce5b64fd2ced21c090283da0ab88,https://auditplatform.com/contract19,https://sourceinfo.com/detail147,https://sourceinfo.com/detail242,https://sourceinfo.com/detail399,Binance Smart Chain,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms."
https://exampleblockchain.com/post20,0x10582f3ce5b38646c362cc65b5d946d5bf13d3a8,https://auditplatform.com/contract20,https://sourceinfo.com/detail132,https://sourceinfo.com/detail212,https://sourceinfo.com/detail382,Polygon,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Includes both buy and sell taxes, indicating transaction fee mechanisms. Relies on external contracts or libraries, increasing vulnerability to external changes."
